Month,Airlinepassengers
1949M01,112
1949M02,118
1949M03,132
1949M04,129
1949M05,121
1949M06,135
1949M07,148
1949M08,148
1949M09,136
1949M10,119
1949M11,104
1949M12,118
1950M01,115
1950M02,126
1950M03,141
1950M04,135
1950M05,125
1950M06,149
1950M07,170
1950M08,170
1950M09,158
1950M10,133
1950M11,114
1950M12,140
1951M01,145
1951M02,150
1951M03,178
1951M04,163
1951M05,172
1951M06,178
1951M07,199
1951M08,199
1951M09,184
1951M10,162
1951M11,146
1951M12,166
1952M01,171
1952M02,180
1952M03,193
1952M04,181
1952M05,183
1952M06,218
1952M07,230
1952M08,242
1952M09,209
1952M10,191
1952M11,172
1952M12,194
1953M01,196
1953M02,196
1953M03,236
1953M04,235
1953M05,229
1953M06,243
1953M07,264
1953M08,272
1953M09,237
1953M10,211
1953M11,180
1953M12,201
1954M01,204
1954M02,188
1954M03,235
1954M04,227
1954M05,234
1954M06,264
1954M07,302
1954M08,293
1954M09,259
1954M10,229
1954M11,203
1954M12,229
1955M01,242
1955M02,233
1955M03,267
1955M04,269
1955M05,270
1955M06,315
1955M07,364
1955M08,347
1955M09,312
1955M10,274
1955M11,237
1955M12,278
1956M01,284
1956M02,277
1956M03,317
1956M04,313
1956M05,318
1956M06,374
1956M07,413
1956M08,405
1956M09,355
1956M10,306
1956M11,271
1956M12,306
1957M01,315
1957M02,301
1957M03,356
1957M04,348
1957M05,355
1957M06,422
1957M07,465
1957M08,467
1957M09,404
1957M10,347
1957M11,305
1957M12,336
1958M01,340
1958M02,318
1958M03,362
1958M04,348
1958M05,363
1958M06,435
1958M07,491
1958M08,505
1958M09,404
1958M10,359
1958M11,310
1958M12,337
1959M01,360
1959M02,342
1959M03,406
1959M04,396
1959M05,420
1959M06,472
1959M07,548
1959M08,559
1959M09,463
1959M10,407
1959M11,362
1959M12,405
1960M01,417
1960M02,391
1960M03,419
1960M04,461
1960M05,472
1960M06,535
1960M07,622
1960M08,606
1960M09,508
1960M10,461
1960M11,390
1960M12,432
