Date,Dwellings,Domestic outbuildings
1998M11,3657,1188
1998M12,3174,1001
1999M01,2546,657
1999M02,2884,968
1999M03,3934,1304
1999M04,3654,1116
1999M05,3695,1058
1999M06,3363,1090
1999M07,3788,1072
1999M08,3773,1069
1999M09,4075,1083
1999M10,3559,1101
1999M11,3752,1322
1999M12,3380,943
2000M01,2425,613
2000M02,2727,942
2000M03,3690,1087
2000M04,2547,779
2000M05,3611,1006
2000M06,2918,900
2000M07,2987,801
2000M08,3188,896
2000M09,3179,819
2000M10,3101,875
2000M11,3375,1024
2000M12,2579,730
2001M01,2392,593
2001M02,2575,751
2001M03,3236,989
2001M04,2925,792
2001M05,3438,1073
2001M06,2883,793
2001M07,3090,876
2001M08,3440,933
2001M09,3174,794
2001M10,3531,931
2001M11,3902,1034
2001M12,2837,704
2002M01,2701,636
2002M02,3131,805
2002M03,3491,882
2002M04,3771,919
2002M05,4111,1173
2002M06,3255,900
2002M07,4391,954
2002M08,3650,918
2002M09,4069,936
2002M10,5158,1053
2002M11,4132,1055
2002M12,4051,837
2003M01,3260,717
2003M02,3215,794
2003M03,4208,1055
2003M04,3736,945
2003M05,4233,1124
2003M06,3992,961
2003M07,4418,1086
2003M08,4389,1078
2003M09,4929,1077
2003M10,4381,1116
2003M11,4927,1021
2003M12,4434,989
2004M01,4193,739
2004M02,4085,932
2004M03,5060,1303
2004M04,4199,1038
2004M05,4328,1146
2004M06,5238,1072
2004M07,4197,1030
2004M08,4174,1028
2004M09,4139,1040
2004M10,4365,930
2004M11,4766,1183
2004M12,4320,899
2005M01,3324,685
2005M02,3785,842
2005M03,4982,1092
2005M04,3054,938
2005M05,3966,1119
2005M06,3975,970
2005M07,3796,955
2005M08,4238,1049
2005M09,4428,1116
2005M10,3850,1013
2005M11,4497,1164
2005M12,4235,946
2006M01,3416,768
2006M02,3802,802
2006M03,4263,1067
2006M04,3019,830
2006M05,4452,1175
2006M06,3851,964
2006M07,3870,1043
2006M08,4520,1177
2006M09,4463,962
2006M10,4420,1032
2006M11,4363,1182
2006M12,3562,798
2007M01,3399,760
2007M02,3724,756
2007M03,4296,1077
2007M04,3494,866
2007M05,4552,1182
2007M06,4435,915
2007M07,4050,965
2007M08,4484,993
2007M09,3714,847
2007M10,4038,915
2007M11,4237,925
2007M12,3159,738
2008M01,3138,640
2008M02,3422,728
2008M03,3191,866
2008M04,4237,974
2008M05,3513,896
2008M06,3120,771
2008M07,3264,791
2008M08,3014,659
2008M09,3459,791
2008M10,2897,718
2008M11,2783,661
2008M12,2614,690
2009M01,2011,506
2009M02,2338,461
2009M03,2659,647
2009M04,2550,581
2009M05,2975,656
2009M06,2723,574
2009M07,2908,681
2009M08,2722,582
2009M09,3085,640
2009M10,3036,664
2009M11,3107,664
2009M12,2963,539
2010M01,2308,454
2010M02,2789,487
2010M03,3252,677
2010M04,3080,625
2010M05,3097,649
2010M06,3127,604
2010M07,3210,618
2010M08,3074,619
2010M09,2888,595
2010M10,2682,525
2010M11,3087,578
2010M12,2405,458
2011M01,1955,360
2011M02,2296,385
2011M03,2662,513
2011M04,2370,478
2011M05,2826,536
2011M06,2602,500
2011M07,2608,494
2011M08,3114,565
2011M09,2647,498
2011M10,2722,474
2011M11,3028,568
2011M12,2465,458
2012M01,2226,312
2012M02,2652,408
2012M03,3487,531
2012M04,2692,474
2012M05,3361,593
