 DATE,Hotel,BackPackers,Motel
2000M01,50,59.8,58.9
2000M02,66.9,59.8,65.5
2000M03,58.2,54.6,59.8
2000M04,52.2,48.8,56.3
2000M05,43.9,34.7,40.2
2000M06,40.4,31.3,39.3
2000M07,46.1,35,45.1
2000M08,48.4,34.5,43.4
2000M09,46.9,34.6,47.1
2000M10,53.3,37.1,50.5
2000M11,65.7,48,56.3
2000M12,51.8,54,51.1
2001M01,58.1,59.3,63.8
2001M02,69.7,61.6,68.3
2001M03,66.1,55.5,64.4
2001M04,53.1,49.1,54.9
2001M05,47,36.3,42.2
2001M06,42.2,32.1,42
2001M07,48.1,37.1,47.9
2001M08,51.3,36.6,45.5
2001M09,50.6,37.7,49.6
2001M10,53.7,40.9,52.3
2001M11,61.1,50.5,55.7
2001M12,51.8,50.9,52.4
2002M01,57.8,61.4,64.3
2002M02,70.9,64.6,69.5
2002M03,68.9,61.7,68.6
2002M04,56.1,51.5,55.2
2002M05,47.7,39.3,43.6
2002M06,44,35.4,43
2002M07,50.8,39,49.3
2002M08,51.1,37.6,46.5
2002M09,51.4,40.1,50.8
2002M10,58.9,42.1,53.9
2002M11,67.8,53.8,59.9
2002M12,54.9,56.8,53.8
2003M01,58.9,62.4,64.1
2003M02,72.1,64.2,71.2
2003M03,66.1,60.3,65.9
2003M04,54.1,56.4,59.4
2003M05,44.4,41.3,45.3
2003M06,41.4,37.1,41.6
2003M07,49.1,41.5,50
2003M08,49.6,37,46.8
2003M09,52.7,40.2,52.5
2003M10,56.1,44.1,53.8
2003M11,67.6,53.8,59.6
2003M12,56.6,57.1,56.6
2004M01,61,62.1,66.3
2004M02,71.6,63.6,71.7
2004M03,69.4,58.7,68.7
2004M04,58.5,54,60.3
2004M05,49.9,38.3,45
2004M06,46.5,37.3,45
2004M07,53.1,40.5,51
2004M08,52.3,36.6,46.9
2004M09,54.9,38.3,52.7
2004M10,58.8,38.8,52.8
2004M11,68.1,49.2,61.1
2004M12,55.8,50.9,55.8
2005M01,59.6,61,67.2
2005M02,73.9,61.3,73.4
2005M03,66.7,56.8,69.4
2005M04,57.4,47,58.6
2005M05,47.2,35.3,43.4
2005M06,46.5,36.6,45.4
2005M07,50.1,36.5,49.6
2005M08,48.4,33.3,46
2005M09,52.2,33.1,50.1
2005M10,53.9,35,52.8
2005M11,64.1,44.6,57.9
2005M12,51.5,49.7,52.4
2006M01,55.4,57.4,64.6
2006M02,71.2,59.1,71.3
2006M03,64.8,54.9,67
2006M04,53.5,47.8,56.8
2006M05,47.1,33.5,43.4
2006M06,44.5,32,42.7
2006M07,47.8,35.9,47.6
2006M08,50.1,34.5,46.6
2006M09,52.3,34.9,50.3
2006M10,55.5,37.5,52.7
2006M11,65.7,47.6,58.8
2006M12,52.8,49.7,53.3
2007M01,58.8,58.9,64.9
2007M02,72.2,60.9,72.1
2007M03,67.3,57.2,67.9
2007M04,53,49.1,55.1
2007M05,47.4,35.5,44.2
2007M06,44,35.2,42.2
2007M07,48.2,38.6,46.4
2007M08,49.2,35.5,46.9
2007M09,50.3,37.3,49.5
2007M10,53.3,35.7,51.1
2007M11,65.1,47,57.6
2007M12,50.7,48.4,51.6
2008M01,59.2,56.4,62.6
2008M02,72,58.1,69.8
2008M03,66.1,57.5,65.6
2008M04,56.9,46.8,54.6
2008M05,48.8,37,42.7
2008M06,42.9,35.2,38.2
2008M07,49.3,37.4,44.3
2008M08,50.8,33.8,42.2
2008M09,51.2,33.3,45.8
2008M10,54.7,36.2,49.7
2008M11,62,43.1,52
2008M12,50.4,46.2,47.7
2009M01,54.5,54.7,57.9
2009M02,67.8,57.1,63.6
2009M03,63.7,54.6,59
2009M04,53,48.1,50.1
2009M05,46.3,37.3,40.4
2009M06,41.4,31.1,34.7
2009M07,50.1,35.8,42
2009M08,48.9,31.8,40.6
2009M09,50.7,33.5,43.8
2009M10,54,36.1,46.9
2009M11,60.2,44.5,50.2
2009M12,52.6,48.1,47.1
2010M01,57.4,56.3,57.5
2010M02,70,57.1,63.9
2010M03,65.5,52.5,59.4
2010M04,55.4,44.2,49.9
2010M05,46.9,32.6,37.5
2010M06,44.3,31.6,36.7
2010M07,50.9,34.9,41.4
2010M08,50.8,30.4,39.5
2010M09,53.5,31.4,44.3
2010M10,56.1,34.8,45.9
2010M11,64.2,45.3,50.8
2010M12,54.1,46.5,46.3
2011M01,59.4,55.2,56.7
2011M02,69.4,55.8,64.4
2011M03,63.4,51.3,60.5
2011M04,56.2,46.7,52.9
2011M05,49.9,32.7,41.4
2011M06,46.4,30.5,40.5
2011M07,53.7,36,45.6
2011M08,56,34.3,46.9
2011M09,52.2,36.7,46.6
2011M10,54.1,38.5,49.4
2011M11,62.9,43.9,56.1
2011M12,54.6,45.8,49.7
2012M01,57.3,53.2,58.9
2012M02,66.1,55.4,63.8
2012M03,64.8,50.5,59.6
2012M04,54.4,44,50.5
2012M05,49.2,30.6,41.6
2012M06,48,27.9,40.6
2012M07,50.8,30.4,44.1
2012M08,53.5,27.5,42.2
2012M09,52.3,30.3,45.7
2012M10,56.5,34.7,50.5
