Quarter,Natural Forests,Plantation Forests
2000Q1,12,4531
2000Q2,15,4972
2000Q3,16,4901
2000Q4,11,4821
2001Q1,11,4538
2001Q2,15,5192
2001Q3,15,5502
2001Q4,13,5385
2002Q1,14,4804
2002Q2,11,5634
2002Q3,10,5796
2002Q4,9,5823
2003Q1,8,5183
2003Q2,8,5694
2003Q3,10,5409
2003Q4,8,4934
2004Q1,6,4842
2004Q2,9,4906
2004Q3,6,5205
2004Q4,5,4832
2005Q1,5,4333
2005Q2,6,4892
2005Q3,6,5024
2005Q4,6,4754
2006Q1,7,4133
2006Q2,5,4884
2006Q3,5,5184
2006Q4,5,5140
2007Q1,3,4688
2007Q2,7,5282
2007Q3,4,5341
2007Q4,6,4988
2008Q1,2,4776
2008Q2,4,4776
2008Q3,6,5182
2008Q4,2,4652
2009Q1,5,4238
2009Q2,1,5344
2009Q3,4,5752
2009Q4,4,5401
2010Q1,5,5446
2010Q2,5,6252
2010Q3,5,6334
2010Q4,4,6356
2011Q1,4,6091
2011Q2,4,6861
2011Q3,3,6749
2011Q4,5,6333
2012Q1,3,6028
2012Q2,3,7307
2012Q3,4,6689
2012Q4,3,7287
2013Q1,5,6747
2013Q2,6,7557
2013Q3,7,7924
